name,symbol,cmc_rank,last_updated,price,%_change_24h,%_change_7d,%_change_30d,%_change_60d,%_change_90d,market_cap
Bitcoin,BTC,1,2022-02-25 04:55,38761.88361368764,10.54731858,-4.5772063,2.78312737,-24.05546956,-28.93173022,735222539439.0674
Ethereum,ETH,2,2022-02-25 04:55,2621.1053720709265,9.35479299,-9.31738432,5.28751659,-35.62198061,-36.70504863,313801979087.24634
BNB,BNB,4,2022-02-25 04:55,363.62343002357784,6.82529464,-9.97966139,-4.66464811,-33.74023255,-38.77592055,60040322949.20474
XRP,XRP,6,2022-02-25 04:55,0.6954861253439475,7.10196299,-11.32870298,10.25608306,-24.68862762,-27.6195657,33348059751.695244
Cardano,ADA,7,2022-02-25 04:55,0.8506609637173685,5.473493,-17.1417299,-19.37899902,-42.32481591,-45.57041267,28616709246.02646
Solana,SOL,8,2022-02-25 04:55,88.78765013235562,10.98381533,-5.63842694,-7.64709707,-55.58942403,-55.18225592,28405814919.634426
Terra,LUNA,9,2022-02-25 04:55,67.1597724593796,20.18731562,31.67353135,6.52356195,-33.66033898,59.00653789,25678204661.875484
Avalanche,AVAX,11,2022-02-25 04:55,75.33045065903801,10.45289491,-14.91248801,7.99857782,-34.98579154,-30.94549728,18511604273.888596
Dogecoin,DOGE,12,2022-02-25 04:55,0.12322676907882815,5.89556203,-12.43112477,-15.95128441,-35.33968269,-40.91095783,16348589635.894688
Polkadot,DOT,13,2022-02-25 04:55,16.12894012141381,7.96270573,-12.3249957,-14.90194093,-48.3860846,-54.17911583,15928607636.089693
Shiba Inu,SHIB,14,2022-02-25 04:55,2.407395042653475e-05,5.76733271,-17.21884177,11.36636345,-37.1332439,-39.67909743,13218122156.698717
Polygon,MATIC,16,2022-02-25 04:55,1.4416536125914725,9.39497976,-14.12648842,-10.63037121,-49.93240314,-15.94898942,10866970066.968105
Wrapped Bitcoin,WBTC,17,2022-02-25 04:55,38696.969085110504,10.42290168,-4.86997182,2.97078506,-23.96198555,-28.07719016,10183579783.305946
Cronos,CRO,18,2022-02-25 04:55,0.40198230737087504,11.18884607,-7.3659343,-1.32841524,-35.75495883,-43.44360014,10155284535.052168
Dai,DAI,19,2022-02-25 04:55,0.9995628449458904,-0.0209444,0.01232112,-0.08842258,-0.16426105,-0.20282345,9758676337.710722
Litecoin,LTC,20,2022-02-25 04:55,104.24796239431159,6.07802456,-10.63075652,-5.10977924,-33.37559046,-47.546669,7267487085.317944
Cosmos,ATOM,21,2022-02-25 04:55,24.597623386013225,7.84036232,-12.50147331,-29.83726725,-23.33799399,-11.42904613,7044028714.546753
TRON,TRX,22,2022-02-25 04:55,0.06150129041114249,6.87359157,-2.38903871,8.41968088,-24.54916256,-34.79726243,6258190778.422296
Chainlink,LINK,23,2022-02-25 04:55,13.297549680577742,8.15180796,-15.77851122,-16.51482865,-42.69410075,-46.24519024,6210082686.053927
FTX Token,FTT,24,2022-02-25 04:55,41.803378030359106,8.13978088,-4.5551735,12.84186109,-2.40200054,-13.50298975,5761288654.572408
Bitcoin Cash,BCH,25,2022-02-25 04:55,298.88537873551036,10.1633143,-4.5497895,1.00649888,-33.69559319,-47.60720683,5676610444.172054
Uniswap,UNI,26,2022-02-25 04:55,8.839924513712795,11.82501257,-14.86241925,-18.46031723,-53.58995573,-55.56482491,5591689279.5451975
UNUS SED LEO,LEO,27,2022-02-25 04:55,5.818804430684566,3.27826746,4.74516522,62.04751553,66.65259391,79.98707244,5550872518.313841
NEAR Protocol,NEAR,28,2022-02-25 04:55,8.472485181399264,9.4306121,-21.27263575,-30.37554974,-45.6733185,1.07720807,5429634668.847815
Algorand,ALGO,29,2022-02-25 04:55,0.7805719268324997,7.3590771,-13.84218799,-17.62481562,-52.39502939,-53.19264268,5166400732.143943
Decentraland,MANA,30,2022-02-25 04:55,2.6160670704386115,12.46148123,-15.64194307,17.31730497,-33.35716747,-43.2300208,4792952982.517924
Stellar,XLM,31,2022-02-25 04:55,0.18221642607500624,8.92947736,-10.86308431,-9.28323935,-38.27371817,-44.70085512,4543058695.498356
Hedera,HBAR,32,2022-02-25 04:55,0.21531636447794147,8.71558897,-9.25959639,-0.78525283,-32.51836454,-35.45362849,4212741517.562288
Bitcoin BEP2,BTCB,33,2022-02-25 04:55,38723.96177770049,10.8662867,-4.94612226,3.00557927,-24.07739319,-29.03629625,4071796259.7143073
Fantom,FTM,34,2022-02-25 04:55,1.4972994484760107,7.61180767,-21.86535169,-36.61164306,-37.19183901,-30.88218698,3810636488.9308877
Ethereum Classic,ETC,35,2022-02-25 04:55,26.44820124579572,7.02219071,-11.20775864,7.20052133,-30.39539852,-44.08974691,3522670052.6903644
Internet Computer,ICP,36,2022-02-25 04:55,16.658389593019955,6.27556686,-16.63598527,-17.97967646,-38.8598804,-61.19485359,3455584538.4183187
